Mercury,,,
,,,
Density,[kg/m^3],13319.6,
Temperature,[C],50,
Dynamic Viscosity,[Pa s],0.00141,
,,,
 Z [ m ], Pressure [ MPa ], Velocity [ m s^-1 ],
0.155909598,0.039756969,0.2254062,
0.153738737,0.039954566,0.229841068,
0.151567876,0.040259898,0.228850067,
0.149397016,0.040594764,0.228125602,
0.147226155,0.040823598,0.229732275,
0.145055294,0.04110745,0.232780054,
0.142884433,0.041341241,0.236270994,
0.140713573,0.041635875,0.241031736,
0.138542712,0.041956648,0.246283174,
0.136371851,0.04217235,0.249644697,
0.13420099,0.042446863,0.254012316,
0.132030129,0.042666808,0.257640243,
0.129859269,0.042974383,0.263270915,
0.127688408,0.043264963,0.268976092,
0.125517547,0.043487046,0.273627341,
0.123346694,0.043761313,0.279557139,
0.12117584,0.044087451,0.286864698,
0.119004987,0.044280015,0.291351169,
0.116834134,0.04454736,0.297881573,
0.114663281,0.044762902,0.303415149,
0.112492427,0.045045417,0.311168343,
0.110321574,0.045333691,0.319440067,
0.108150721,0.04554005,0.325624049,
0.105979867,0.045796394,0.333621025,
0.103809014,0.045988828,0.339817077,
0.101638161,0.046282366,0.350088358,
0.099467307,0.046537668,0.359600693,
0.097296454,0.046740111,0.367664874,
0.095125601,0.046988647,0.378207326,
0.092954747,0.047265627,0.390683621,
0.090783894,0.04744114,0.399265736,
0.088613041,0.047666609,0.411033064,
0.086442187,0.047845587,0.42106694,
0.084271334,0.04808173,0.435786486,
0.082100481,0.048307333,0.451115996,
0.079929628,0.048469212,0.463441521,
0.077758774,0.048658185,0.479473054,
0.075587921,0.048794061,0.492020845,
0.073417068,0.048991162,0.513779581,
0.071246214,0.049148079,0.53417486,
0.069075361,0.049260061,0.551809967,
0.066904508,0.049379055,0.57646805,
0.064733654,0.049483579,0.605867445,
0.062562801,0.049527589,0.628070772,
0.060391948,0.049558904,0.657779396,
0.058221094,0.049563121,0.682388425,
0.056050241,0.049533479,0.722267389,
0.053879388,0.049443197,0.764439762,
0.051708534,0.049294367,0.802791834,
0.049537681,0.048973788,0.860597074,
0.047366828,0.048455562,0.935651004,
0.045195974,0.047962241,0.993698776,
0.043025121,0.047074482,1.08877623,
0.040854268,0.046244703,1.17234576,
0.038683415,0.043987438,1.33678031,
0.036512561,0.041384012,1.53721797,
0.034341708,0.037450936,1.87944365,
0.032170855,0.026830524,2.01290131,
